year;winner;gender;country;time;marathon;;
1976;Miki Gorman;Female;United States;04/05/2018 02:39;NYC;;
1975;Tom Fleming;Male;United States;04/05/2018 02:19;NYC;;
1975;Kim Merritt;Female;United States;04/05/2018 02:46;NYC;;
1974;Norbert Sander;Male;United States;04/05/2018 02:26;NYC;;
1974;Kathrine Switzer;Female;United States;04/05/2018 03:07;NYC;;
1973;Tom Fleming;Male;United States;04/05/2018 02:21;NYC;;
1973;Nina Kuscsik;Female;United States;04/05/2018 02:57;NYC;;
1972;Sheldon Karlin;Male;United States;04/05/2018 02:27;NYC;;
1972;Nina Kuscsik;Female;United States;04/05/2018 03:08;NYC;;
1971;Norman Higgins;Male;United States;04/05/2018 02:22;NYC;;
1970;Gary Muhrcke;Male;United States;04/05/2018 02:31;NYC;;
2018;Eliud Kipchoge;Male;Kenya;04/05/2018 02:04;London;;
2017;Daniel Wanjiru;Male;Kenya;04/05/2018 02:05;London;;
2017;Mary Keitany;Female;Kenya;04/05/2018 02:17;London;;
2016;Eliud Kipchoge;Male;Kenya;04/05/2018 02:03;London;;
2016;Jemima Sumgong;Female;Kenya;04/05/2018 02:22;London;;
2015;Eliud Kipchoge;Male;Kenya;04/05/2018 02:04;London;;
2015;Tigist Tufa;Female;Ethiopia;04/05/2018 02:23;London;;
2014;Wilson Kipsang;Male;Kenya;04/05/2018 02:04;London;;
2014;Edna Kiplagat;Female;Kenya;04/05/2018 02:20;London;;
2013;Tsegaye Kebede;Male;Ethiopia;04/05/2018 02:06;London;;
2013;Priscah Jeptoo;Female;Kenya;04/05/2018 02:20;London;;
2012;Wilson Kipsang;Male;Kenya;04/05/2018 02:04;London;;
2012;Mary Keitany;Female;Kenya;04/05/2018 02:18;London;;
2011;Emmanuel Mutai;Male;Kenya;04/05/2018 02:04;London;;
2011;Mary Keitany;Female;Kenya;04/05/2018 02:19;London;;
2010;Tsegaye Kebede;Male;Ethiopia;04/05/2018 02:05;London;;
2010;Aselefech Mergia;Female;Ethiopia;04/05/2018 02:22;London;;
2009;Samuel Wanjiru;Male;Kenya;04/05/2018 02:05;London;;
2009;Irina Mikitenko;Female;Germany;04/05/2018 02:22;London;;
2008;Martin Lel;Male;Kenya;04/05/2018 02:05;London;;
2008;Irina Mikitenko;Female;Germany;04/05/2018 02:24;London;;
2007;Martin Lel;Male;Kenya;04/05/2018 02:07;London;;
2007;Zhou Chunxiu;Female;China;04/05/2018 02:20;London;;
2006;Felix Limo;Male;Kenya;04/05/2018 02:06;London;;
2006;Deena Kastor;Female;United States;04/05/2018 02:19;London;;
2005;Martin Lel;Male;Kenya;04/05/2018 02:07;London;;
2005;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:17;London;;
2004;Evans Rutto;Male;Kenya;04/05/2018 02:06;London;;
2004;Margaret Okayo;Female;Kenya;04/05/2018 02:22;London;;
2003;Gezahegne Abera;Male;Ethiopia;04/05/2018 02:07;London;;
2003;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:15;London;;
2002;Khalid Khannouchi;Male;United States;04/05/2018 02:05;London;;
2002;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:18;London;;
2001;Abdelkader El Mouaziz;Male;Morocco;04/05/2018 02:07;London;;
2001;Derartu Tulu;Female;Ethiopia;04/05/2018 02:23;London;;
2000;António Pinto;Male;Portugal;04/05/2018 02:06;London;;
2000;Tegla Laroupe;Female;Kenya;04/05/2018 02:24;London;;
1999;Abdelkader El Mouaziz;Male;Morocco;04/05/2018 02:07;London;;
1999;Joyce Chepchumba;Female;Kenya;04/05/2018 02:23;London;;
1998;Abel Antón;Male;Spain;04/05/2018 02:07;London;;
1998;Catherina McKiernan;Female;Ireland;04/05/2018 02:26;London;;
1997;António Pinto;Male;Portugal;04/05/2018 02:07;London;;
1997;Joyce Chepchumba;Female;Kenya;04/05/2018 02:26;London;;
1996;Dionicio Cerón;Male;Mexico;04/05/2018 02:10;London;;
1996;Liz McColgan;Female;United Kingdom;04/05/2018 02:27;London;;
1995;Dionicio Cerón;Male;Mexico;04/05/2018 02:08;London;;
1995;Malgorzata Sobanska;Female;Poland;04/05/2018 02:27;London;;
1994;Dionicio Cerón;Male;Mexico;04/05/2018 02:08;London;;
1994;Katrin Dörre-Heinig;Female;Germany;04/05/2018 02:32;London;;
1993;Eamonn Martin;Male;United Kingdom;04/05/2018 02:10;London;;
1993;Katrin Dörre-Heinig;Female;Germany;04/05/2018 02:27;London;;
1992;António Pinto;Male;Portugal;04/05/2018 02:10;London;;
1992;Katrin Dörre-Heinig;Female;Germany;04/05/2018 02:29;London;;
1991;Yakov Tolstikov;Male;Soviet Union;04/05/2018 02:09;London;;
1991;Rosa Mota;Female;Portugal;04/05/2018 02:26;London;;
1990;Allister Hutton;Male;United Kingdom;04/05/2018 02:10;London;;
1990;Wanda Panfil;Female;Poland;04/05/2018 02:26;London;;
1989;Douglas Wakiihuri;Male;Kenya;04/05/2018 02:09;London;;
1989;Véronique Marot;Female;United Kingdom;04/05/2018 02:25;London;;
1988;Henrik Jørgensen;Male;Denmark;04/05/2018 02:10;London;;
1988;Ingrid Kristiansen;Female;Norway;04/05/2018 02:25;London;;
1987;Hiromi Taniguchi;Male;Japan;04/05/2018 02:09;London;;
1987;Ingrid Kristiansen;Female;Norway;04/05/2018 02:22;London;;
1986;Toshihiko Seko;Male;Japan;04/05/2018 02:10;London;;
1986;Grete Waitz;Female;Norway;04/05/2018 02:24;London;;
1985;Steve Jones;Male;United Kingdom;04/05/2018 02:08;London;;
1985;Ingrid Kristiansen;Female;Norway;04/05/2018 02:21;London;;
1984;Charlie Spedding;Male;United Kingdom;04/05/2018 02:09;London;;
1984;Ingrid Kristiansen;Female;Norway;04/05/2018 02:24;London;;
1983;Mike Gratton;Male;United Kingdom;04/05/2018 02:09;London;;
1983;Grete Waitz;Female;Norway;04/05/2018 02:25;London;;
1982;Hugh Jones;Male;United Kingdom;04/05/2018 02:09;London;;
1982;Joyce Smith;Female;United Kingdom;04/05/2018 02:29;London;;
1981;Dick Beardsley;Male;United States;04/05/2018 02:11;London;;
1981;Inge Simonsen;Male;Norway;04/05/2018 02:11;London;;
1981;Joyce Smith;Female;United Kingdom;04/05/2018 02:29;London;;
2017;Galen Rupp;Male;United States;04/05/2018 02:09;Chicago;;
2017;Tirunesh Dibaba;Female;Ethiopia;04/05/2018 02:18;Chicago;;
2016;Abel Kirui;Male;Kenya;04/05/2018 02:11;Chicago;;
2016;Florence Kiplagat;Female;Kenya;04/05/2018 02:21;Chicago;;
2015;Dickson Chumba;Male;Kenya;04/05/2018 02:09;Chicago;;
2015;Florence Kiplagat;Female;Kenya;04/05/2018 02:23;Chicago;;
2014;Eliud Kipchoge;Male;Kenya;04/05/2018 02:04;Chicago;;
2014;Mare Dibaba;Female;Ethiopia;04/05/2018 02:25;Chicago;;
2013;Dennis Kimetto;Male;Kenya;04/05/2018 02:03;Chicago;;
2013;Rita Jeptoo;Female;Kenya;04/05/2018 02:19;Chicago;;
2012;Tsegaye Kebede;Male;Ethiopia;04/05/2018 02:04;Chicago;;
2012;Atsede Baysa;Female;Ethiopia;04/05/2018 02:22;Chicago;;
2011;Moses Mosop;Male;Kenya;04/05/2018 02:05;Chicago;;
2011;Ejegayehu Dibaba;Female;Ethiopia;04/05/2018 02:22;Chicago;;
2010;Samuel Wanjiru;Male;Kenya;04/05/2018 02:06;Chicago;;
2010;Atsede Baysa;Female;Ethiopia;04/05/2018 02:23;Chicago;;
2009;Samuel Wanjiru;Male;Kenya;04/05/2018 02:05;Chicago;;
2009;Irina Mikitenko;Female;Germany;04/05/2018 02:26;Chicago;;
2008;Evans Cheruiyot;Male;Kenya;04/05/2018 02:06;Chicago;;
2008;Lidiya Grigoryeva;Female;Russia;04/05/2018 02:27;Chicago;;
2007;Patrick Ivuti;Male;Kenya;04/05/2018 02:11;Chicago;;
2007;Berhane Adere;Female;Ethiopia;04/05/2018 02:33;Chicago;;
2006;Robert Cheruiyot;Male;Kenya;04/05/2018 02:07;Chicago;;
2006;Berhane Adere;Female;Ethiopia;04/05/2018 02:20;Chicago;;
2005;Felix Limo;Male;Kenya;04/05/2018 02:07;Chicago;;
2005;Deena Kastor;Female;United States;04/05/2018 02:21;Chicago;;
2004;Evans Rutto;Male;Kenya;04/05/2018 02:06;Chicago;;
2004;Dita, Constantina;Female;Romania;04/05/2018 02:23;Chicago;;
2003;Evans Rutto;Male;Kenya;04/05/2018 02:05;Chicago;;
2003;Svetlana Zakharova;Female;Russia;04/05/2018 02:23;Chicago;;
2002;Khalid Khannouchi;Male;United States;04/05/2018 02:05;Chicago;;
2002;Paula Radcliffe;Female;United Kingdom;04/05/2018 02:17;Chicago;;
2001;Ben Kimondiu;Male;Kenya;04/05/2018 02:08;Chicago;;
2001;Catherine Ndereba;Female;Kenya;04/05/2018 02:18;Chicago;;
2000;Khalid Khannouchi;Male;United States;04/05/2018 02:07;Chicago;;
2000;Catherine Ndereba;Female;Kenya;04/05/2018 02:21;Chicago;;
1999;Khalid Khannouchi;Male;Morocco;04/05/2018 02:05;Chicago;;
1999;Joyce Chepchumba;Female;Kenya;04/05/2018 02:25;Chicago;;
1998;Ondoro Osoro;Male;Kenya;04/05/2018 02:06;Chicago;;
1998;Joyce Chepchumba;Female;Kenya;04/05/2018 02:23;Chicago;;
1997;Khalid Khannouchi;Male;Morocco;04/05/2018 02:07;Chicago;;
1997;Marian Sutton;Female;United Kingdom;04/05/2018 02:29;Chicago;;
1996;Paul Evans;Male;United Kingdom;04/05/2018 02:08;Chicago;;
1996;Marian Sutton;Female;United Kingdom;04/05/2018 02:30;Chicago;;
1995;Eamonn Martin;Male;United Kingdom;04/05/2018 02:11;Chicago;;
1995;Ritva Lemettinen;Female;Finland;04/05/2018 02:28;Chicago;;
1994;Luíz Antônio;Male;Brazil;04/05/2018 02:11;Chicago;;
1994;Kristy Johnston;Female;United States;04/05/2018 02:31;Chicago;;
1993;Luíz Antônio;Male;Brazil;04/05/2018 02:13;Chicago;;
1993;Ritva Lemettinen;Female;Finland;04/05/2018 02:33;Chicago;;
1992;José Cesar de Souza;Male;Brazil;04/05/2018 02:16;Chicago;;
1992;Linda Somers;Female;United States;04/05/2018 02:37;Chicago;;
1991;Joseildo Rocha;Male;Brazil;04/05/2018 02:14;Chicago;;
1991;Midde Hamrin;Female;Sweden;04/05/2018 02:36;Chicago;;
1990;Martín Pitayo;Male;Mexico;04/05/2018 02:09;Chicago;;
1990;Aurora Cunha;Female;Portugal;04/05/2018 02:30;Chicago;;
1989;Paul Davies-Hale;Male;United Kingdom;04/05/2018 02:11;Chicago;;
1989;Lisa Weidenbach;Female;United States;04/05/2018 02:28;Chicago;;
1988;Alejandro Cruz;Male;Mexico;04/05/2018 02:08;Chicago;;
1988;Lisa Weidenbach;Female;United States;04/05/2018 02:29;Chicago;;
1987;NA;NA;NA;;Chicago;;
1987;NA;NA;NA;;Chicago;;
1986;Toshihiko Seko;Male;Japan;04/05/2018 02:08;Chicago;;
1986;Ingrid Kristiansen;Female;Norway;04/05/2018 02:27;Chicago;;
1985;Steve Jones;Male;United Kingdom;04/05/2018 02:07;Chicago;;
1985;Joan Benoit;Female;United States;04/05/2018 02:21;Chicago;;
1984;Steve Jones;Male;United Kingdom;04/05/2018 02:08;Chicago;;
1984;Rosa Mota;Female;Portugal;04/05/2018 02:26;Chicago;;
1983;Joseph Nzau;Male;Kenya;04/05/2018 02:09;Chicago;;
1983;Rosa Mota;Female;Portugal;04/05/2018 02:31;Chicago;;
1982;Greg Meyer;Male;United States;04/05/2018 02:10;Chicago;;
1982;Nancy Conz;Female;United States;04/05/2018 02:33;Chicago;;
1981;Phil Coppess;Male;United States;04/05/2018 02:16;Chicago;;
1981;Tina Gandy;Female;United States;04/05/2018 02:49;Chicago;;
1980;Frank Richardson;Male;United States;04/05/2018 02:14;Chicago;;
1980;Sue Peterson;Female;United States;04/05/2018 02:45;Chicago;;
1979;Dan Cloeter;Male;United States;04/05/2018 02:23;Chicago;;
1979;Laura Michalek;Female;United States;04/05/2018 03:15;Chicago;;
1978;Mark Stanforth;Male;United States;04/05/2018 02:19;Chicago;;
1978;Lynae Larson;Female;United States;04/05/2018 02:59;Chicago;;
1977;Dan Cloeter;Male;United States;04/05/2018 02:17;Chicago;;
1977;Dorothy Doolittle;Female;United States;04/05/2018 02:50;Chicago;;
2018;Vivian Cheruiyot;Female;Kenya;04/05/2018 02:18;London;;
