year;winner;gender;country;time;marathon;;
1989;Päivi Tikkanen;Female;Finland;04/05/2018 02:28;Berlin;;
1988;Suleiman Nyambui;Male;Tanzania;04/05/2018 02:11;Berlin;;
1988;Renata Kokowska;Female;Poland;04/05/2018 02:29;Berlin;;
1987;Suleiman Nyambui;Male;Tanzania;04/05/2018 02:11;Berlin;;
1987;Kerstin Preßler;Female;Germany;04/05/2018 02:31;Berlin;;
1986;Boguslaw Psujek;Male;Poland;04/05/2018 02:11;Berlin;;
1986;Charlotte Teske;Female;Germany;04/05/2018 02:32;Berlin;;
1985;Jimmy Ashworth;Male;United Kingdom;04/05/2018 02:11;Berlin;;
1985;Magda Ilands;Female;Belgium;04/05/2018 02:34;Berlin;;
1984;John Skovbjerg;Male;Denmark;04/05/2018 02:13;Berlin;;
1984;Ágnes Sipka;Female;Hungary;04/05/2018 02:39;Berlin;;
1983;Karel Lismont;Male;Belgium;04/05/2018 02:13;Berlin;;
1983;Karen Holdsworth;Female;United Kingdom;04/05/2018 02:40;Berlin;;
1982;Domingo Tibaduiza;Male;Colombia;04/05/2018 02:14;Berlin;;
1982;Jean Lochhead;Female;United Kingdom;04/05/2018 02:47;Berlin;;
1981;Ian Ray;Male;United Kingdom;04/05/2018 02:15;Berlin;;
1981;Angelika Stephan;Female;Germany;04/05/2018 02:47;Berlin;;
1980;Ingo Sensburg;Male;Germany;04/05/2018 02:16;Berlin;;
1980;Gerlinde Püttmann;Female;Germany;04/05/2018 02:47;Berlin;;
1979;Ingo Sensburg;Male;Germany;04/05/2018 02:21;Berlin;;
1979;Jutta von Haase;Female;Germany;04/05/2018 03:07;Berlin;;
1978;Michael Spöttel;Male;Germany;04/05/2018 02:20;Berlin;;
1978;Ursula Blaschke;Female;Germany;04/05/2018 02:57;Berlin;;
1977;Günter Mielke;Male;Germany;04/05/2018 02:15;Berlin;;
1977;Christa Vahlensieck;Female;Germany;04/05/2018 02:34;Berlin;;
1976;Ingo Sensburg;Male;Germany;04/05/2018 02:23;Berlin;;
1976;Jutta von Haase;Female;Germany;04/05/2018 03:05;Berlin;;
1975;Ralf Bochröder;Male;Germany;04/05/2018 02:47;Berlin;;
1975;Christin Bochröder;Female;Germany;04/05/2018 02:59;Berlin;;
1974;Günter Hallas;Male;Germany;04/05/2018 02:44;Berlin;;
1974;Jutta von Haase;Female;Germany;04/05/2018 03:22;Berlin;;
2018;Yuki Kawauchi;Male;Japan;04/05/2018 02:15;Boston;;
2018;Desi Linden;Female;United States;04/05/2018 02:39;Boston;;
2017;Geoffrey Kirui;Male;Kenya;04/05/2018 02:09;Boston;;
2017;Edna Kiplagat;Female;Kenya;04/05/2018 02:21;Boston;;
2016;Lemi Berhanu Hayle;Male;Ethiopia;04/05/2018 02:12;Boston;;
2016;Atsede Baysa;Female;Ethiopia;04/05/2018 02:29;Boston;;
2015;Lelisa Desisa Benti;Male;Ethiopia;04/05/2018 02:09;Boston;;
2015;Caroline Rotich;Female;Kenya;04/05/2018 02:24;Boston;;
2014;Meb Keflezighi;Male;United States;04/05/2018 02:08;Boston;;
2014;Rita Jeptoo;Female;Kenya;04/05/2018 02:18;Boston;;
2014;Bizunesh Deba;Female;Ethiopia;04/05/2018 02:19;Boston;;
2013;Lelisa Desisa Benti;Male;Ethiopia;04/05/2018 02:10;Boston;;
2013;Rita Jeptoo;Female;Kenya;04/05/2018 02:26;Boston;;
2012;Wesley Korir;Male;Kenya;04/05/2018 02:12;Boston;;
2012;Sharon Cherop;Female;Kenya;04/05/2018 02:31;Boston;;
2011;Geoffrey Mutai;Male;Kenya;04/05/2018 02:03;Boston;;
2011;Caroline Kilel;Female;Kenya;04/05/2018 02:22;Boston;;
